sample-id	plant-id	plant-species	date-collected
w3mp_JC8_1	JC8	curassavica	06-18-2023
w3mp_JC9_1	JC9	curassavica	06-18-2023
w3mp_JC1_1	JC1	curassavica	06-18-2023
w3mp_JI1_1	JI1	incarnata	06-18-2023
w3mp_JI7_1	JI7	incarnata	06-18-2023
w3mp_JI11_1	JI11	incarnata	06-18-2023
w3mp_JI4_1	JI4	incarnata	06-21-2023
w3mp_JI19_1	JI19	incarnata	06-21-2023
w3mp_JI24_1	JI24	incarnata	06-21-2023
w3mp_JI23_1	JI23	incarnata	06-21-2023
w3mp_JC12_1	JC12	curassavica	06-21-2023
w3mp_JC15_1	JC15	curassavica	06-21-2023
w3mp_JC20_1	JC20	curassavica	06-21-2023
w3mp_JI3_1	JI3	incarnata	06-21-2023
w3mp_JI28_1	JI28	incarnata	06-21-2023
w3mp_JI27_1	JI27	incarnata	06-21-2023
w3mp_JC23_1	JC23	curassavica	06-21-2023
w3mp_JC14_1	JC14	curassavica	06-21-2023
w3mp_JC21_1	JC21	curassavica	06-21-2023
w3mp_JC1_2	JC1	curassavica	06-21-2023
w3mp_JC7_1	JC7	curassavica	06-21-2023
w3mp_JC19_1	JC19	curassavica	06-21-2023
w3mp_JI2_1	JI2	incarnata	06-21-2023
w3mp_JI1_2	JI1	incarnata	06-21-2023
w3mp_JI6_1	JI6	incarnata	06-21-2023
w3mp_JC11_1	JC11	curassavica	06-22-2023
w3mp_JC18_1	JC18	curassavica	06-22-2023
w3mp_JC27_1	JC27	curassavica	06-22-2023
w3mp_JI20_1	JI20	incarnata	06-22-2023
w3mp_JI13_1	JI13	incarnata	06-22-2023
w3mp_JI24_2	JI24	incarnata	06-22-2023
w3mp_JC24_1	JC24	curassavica	06-26-2023
w3mp_JI27_2	JI27	incarnata	06-26-2023
w3mp_JI3_2	JI3	incarnata	06-27-2023
w3mp_JI28_2	JI28	incarnata	06-27-2023
w3mp_JC21_2	JC21	curassavica	06-27-2023
w3mp_JC23_2	JC23	curassavica	06-27-2023
