day,average_temperature,average_daytime_temperature,average_nighttime_temperature,day_from_start
9.0,20.780449956293708,23.10964423076923,18.451255681818182,0
10.0,20.696860358391607,22.451442307692307,18.94227840909091,1
11.0,20.998762674825176,22.809735576923078,19.18778977272727,2
12.0,16.139838505244754,16.852495192307693,15.427181818181818,3
13.0,13.179905157342658,15.17679326923077,11.183017045454545,4
14.0,15.063999344405595,17.98072596153846,12.147272727272728,5
15.0,19.045187281468532,21.660158653846153,16.43021590909091,6
16.0,18.646762893356644,19.454264423076925,17.839261363636364,7
17.0,16.0318125,16.625500000000002,15.438125,8
18.0,17.235161931818183,18.00375,16.466573863636363,9
19.0,18.17249256993007,19.45326923076923,16.89171590909091,10
20.0,14.334208697552448,15.104860576923077,13.56355681818182,11
21.0,11.136698863636363,12.506874999999999,9.766522727272726,12
22.0,11.889679632867132,14.220086538461537,9.559272727272727,13
23.0,13.35092854020979,16.088067307692306,10.613789772727273,14
24.0,15.113747814685315,17.67614903846154,12.551346590909091,15
25.0,16.756687499999998,18.496624999999998,15.01675,16
26.0,16.30973033216783,18.132466346153848,14.486994318181818,17
27.0,18.22322880244755,20.042076923076923,16.404380681818182,18
28.0,14.99618138111888,17.519817307692307,12.472545454545454,19
29.0,15.260456730769231,17.38453846153846,13.136375000000001,20
30.0,16.485590034965035,18.560822115384617,14.410357954545455,21
31.0,19.435102709790208,21.748682692307693,17.121522727272726,22
32.0,19.54359506118881,21.589235576923077,17.497954545454547,23
33.0,19.08654895104895,21.724274038461537,16.448823863636363,24
34.0,19.925566433566434,22.568269230769232,17.282863636363636,25
35.0,19.134062718531467,22.455278846153846,15.81284659090909,26
36.0,11.88574715909091,13.3176875,10.453806818181818,27
37.0,6.4576302447552445,7.8301923076923075,5.0850681818181815,28
38.0,5.743096153846153,7.8301923076923075,3.656,29
39.0,11.89932638888889,14.624777777777778,9.173875,30
40.0,11.650253496503497,15.27489903846154,8.025607954545453,31
41.0,14.209046547202798,17.608206730769233,10.809886363636362,32
42.0,15.132292832167831,18.121778846153845,12.142806818181818,33
43.0,17.005105332167833,19.980216346153846,14.029994318181819,34
44.0,18.04328911713287,20.59960096153846,15.486977272727273,35
45.0,19.826566433566434,21.649394230769232,18.003738636363636,36
46.0,17.030204763986013,17.737466346153845,16.322943181818182,37
47.0,10.6869805506993,10.169745192307692,11.204215909090909,38
48.0,11.36104916958042,12.165177884615385,10.556920454545454,39
49.0,13.237260270979021,14.734355769230769,11.740164772727272,40
50.0,13.917416302447553,16.131514423076922,11.703318181818181,41
51.0,13.64997312062937,14.671076923076924,12.628869318181819,42
52.0,15.75187652972028,17.947889423076923,13.555863636363636,43
53.0,16.572494755244755,18.11849519230769,15.026494318181818,44
54.0,16.51216127622378,18.52997596153846,14.49434659090909,45
55.0,13.528542176573426,15.693067307692308,11.364017045454545,46
56.0,15.36231993006993,16.46548076923077,14.25915909090909,47
57.0,15.671980113636364,16.231,15.112960227272728,48
58.0,10.675371503496503,10.347350961538462,11.003392045454547,49
59.0,8.795128933566433,10.459019230769231,7.131238636363636,50
60.0,10.38364313811189,12.989644230769231,7.777642045454545,51
61.0,9.449129807692309,11.847509615384615,7.05075,52
62.0,8.51296416083916,8.612331730769231,8.41359659090909,53
63.0,6.953986013986014,7.316778846153846,6.591193181818182,54
64.0,5.103422858391609,6.998692307692307,3.208153409090909,55
65.0,3.9533572989510493,6.380663461538462,1.5260511363636362,56
66.0,7.180435533216783,9.711115384615384,4.649755681818181,57
67.0,11.774441215034965,12.549802884615385,10.999079545454546,58
68.0,15.721816652097903,16.708360576923077,14.735272727272728,59
69.0,16.84151333041958,17.450697115384617,16.232329545454547,60
70.0,11.952112325174825,14.384201923076922,9.520022727272728,61
71.0,9.415558784965034,10.899884615384615,7.931232954545455,62
72.0,7.956654501748252,9.22389423076923,6.689414772727273,63
73.0,5.932269012237763,8.646447115384616,3.218090909090909,64
74.0,9.50287347027972,12.532485576923076,6.473261363636364,65
75.0,13.157488007703082,14.65818137254902,11.656794642857143,66
